Product Name,Revenue,Cumulative_Pct,ABC_Category
Field & Stream Sportsman 16 Gun Fire Safe,3022248.963116,20.12,A
Perfect Fitness Perfect Rip Deck,1929578.4040054202,32.97,A
Diamondback Women's Serene Classic Comfort Bi,1802879.8661099998,44.98,A
Nike Men's Free 5.0+ Running Shoe,1627337.24848502,55.81,A
Nike Men's Dri-FIT Victory Golf Polo,1387000.0,65.05,A
Pelican Sunstream 100 Kayak,1337533.1567839999,73.95,A
Nike Men's CJ Elite 2 TD Football Cleat,1278971.6641145,82.47,B
O'Brien Men's Neoprene Life Vest,1257646.72849496,90.84,B
Under Armour Girls' Toddler Spine Surge Runni,551862.00921386,94.52,B
LIJA Women's Eyelet Sleeveless Golf Polo,27820.0,94.7,B
adidas Youth Germany Black/Red Away Match Soc,27510.0,94.89,B
adidas Men's F10 Messi TRX FG Soccer Cleat,23576.070694320002,95.04,C
Titleist Pro V1x High Numbers Personalized Go,22459.6807135,95.19,C
SOLE E35 Elliptical,21999.88989,95.34,C
Titleist Pro V1 High Numbers Personalized Gol,19236.300587140002,95.47,C
Under Armour Women's Micro G Skulpt Running S,18799.74041724,95.59,C
Nike Men's Comfort 2 Slide,18490.89024132,95.71,C
Titleist Pro V1x Golf Balls,18428.16028022,95.84,C
Titleist Pro V1x High Numbers Golf Balls,17468.36021994,95.95,C
Under Armour Men's Compression EV SL Slide,15701.51022152,96.06,C
TYR Boys' Team Digi Jammer,14716.3203261,96.16,C
ENO Atlas Hammock Straps,14275.23987623,96.25,C
Clicgear Rovic Cooler Bag,13636.59022732,96.34,C
Nike Men's Deutschland Weltmeister Winners Bl,12930.0,96.43,C
Bridgestone e6 Straight Distance NFL Carolina,12827.989899510001,96.51,C
adidas Kids' F5 Messi FG Soccer Cleat,12701.3702067,96.6,C
Under Armour Hustle Storm Medium Duffle Bag,12666.38026256,96.68,C
Bridgestone e6 Straight Distance NFL San Dieg,12572.06992459,96.77,C
Columbia Men's PFG Anchor Tough T-Shirt,12510.0,96.85,C
Under Armour Women's Ignite Slide,12284.15989588,96.93,C
Under Armour Women's Ignite PIP VI Slide,12156.19989851,97.01,C
Nike Women's Tempo Shorts,11850.0,97.09,C
Team Golf Tennessee Volunteers Putter Grip,10570.769893910001,97.16,C
LIJA Women's Mid-Length Panel Golf Shorts,10500.0,97.23,C
Team Golf Pittsburgh Steelers Putter Grip,10170.92993607,97.3,C
Team Golf New England Patriots Putter Grip,10145.93989006,97.37,C
Team Golf St. Louis Cardinals Putter Grip,9995.99993,97.43,C
TaylorMade White Smoke IN-12 Putter,9799.01989008,97.5,C
Team Golf San Francisco Giants Putter Grip,9646.13991599,97.56,C
Elevation Training Mask 2.0,9438.8200604,97.63,C
Nike Women's Legend V-Neck T-Shirt,9350.0,97.69,C
Under Armour Men's Tech II T-Shirt,9246.29992166,97.75,C
Bridgestone e6 Straight Distance NFL Tennesse,9149.13991846,97.81,C
Glove It Women's Mod Oval 3-Zip Carry All Gol,9125.84987068,97.87,C
Bag Boy Beverage Holder,8996.39989889,97.93,C
Under Armour Kids' Mercenary Slide,8872.82989983,97.99,C
Nike Women's Free 5.0 TR FIT PRT 4 Training S,8739.08003206,98.05,C
Team Golf Texas Longhorns Putter Grip,8621.549935250001,98.11,C
Top Flite Women's 2014 XL Hybrid,8475.75990847,98.16,C
Glove It Women's Imperial Golf Glove,8395.79989988,98.22,C
Brooks Women's Ghost 6 Running Shoe,8189.09001156,98.27,C
adidas Men's Germany Black Crest Away Tee,8125.0,98.33,C
Garmin Forerunner 910XT GPS Watch,7999.799804,98.38,C
Nike Dri-FIT Crew Sock 6 Pack,7898.0,98.43,C
Nike Men's Free TR 5.0 TB Training Shoe,7799.21995556,98.48,C
Polar FT4 Heart Rate Monitor,7739.1400068,98.54,C
Garmin Approach S3 Golf GPS Watch,7499.700165,98.59,C
Hirzl Women's Soffft Flex Golf Glove,7411.87989981,98.63,C
The North Face Women's Recon Backpack,7227.0,98.68,C
GoPro HERO3+ Black Edition Camera,7199.819823600001,98.73,C
LIJA Women's Argyle Golf Polo,6960.0,98.78,C
Nike Kids' Grade School KD VI Basketball Shoe,6799.3199768,98.82,C
Merrell Women's Grassbow Sport Hiking Shoe,6699.32994802,98.87,C
Glove It Imperial Golf Towel,6683.81991752,98.91,C
Glove It Urban Brick Golf Towel,6635.84990675,98.96,C
Fitbit The One Wireless Activity & Sleep Trac,6596.6999207,99.0,C
Glove It Women's Mod Oval Golf Glove,6556.7199343,99.04,C
Hirzl Men's Hybrid Golf Glove,6205.85989356,99.08,C
Bag Boy M330 Push Cart,5999.24996946,99.12,C
Mio ALPHA Heart Rate Monitor/Sport Watch,5970.0,99.16,C
Hirzl Women's Hybrid Golf Glove,5891.06991751,99.2,C
TaylorMade 2014 Purelite Stand Bag,5399.700165,99.24,C
Pelican Maverick 100X Kayak,5249.849853000001,99.27,C
MDGolf Pittsburgh Penguins Putter,5119.3599626000005,99.31,C
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,5103.0,99.34,C
Garmin Approach S4 Golf GPS Watch,5099.8298334,99.38,C
Titleist Small Wheeled Travel Cover,4999.80011,99.41,C
Titleist Club Glove Travel Cover,4799.8398432,99.44,C
Total Gym 1400,4799.8398432,99.47,C
